23:48:22.537 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
23:48:22.543 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 1 ms.
23:48:22.545 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
23:48:22.545 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
23:48:22.545 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
23:48:22.545 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
23:48:22.557 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\Administrator\AppData\Local\Temp\testng-eclipse--349245026\testng-customsuite.xml

23:48:22.794 [main] INFO  org.testng.internal.Utils - [Utils] DynamicGraphHelper.createDynamicGraph() took 5 ms.
23:48:25.757 [main] INFO  testCases.TC002_LoginTest - **starting TC002_LoginTest **
23:48:27.494 [main] INFO  testCases.TC002_LoginTest - ****Tc_02_LoginTestCase completed****
23:48:28.102 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.jq.Main@7e446d92: 135 ms
23:48:28.122 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.FailedReporter@44b29496: 5 ms
23:48:28.200 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.XMLReporter@4af45442: 77 ms
23:48:28.215 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.EmailableReporter2@714f3da4: 14 ms
23:48:28.225 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.JUnitReportReporter@2e869098: 9 ms
23:48:28.227 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.internal.ExitCodeListener@37c36608: 2 ms
